model_id,mean_per_class_error,logloss,rmse,mse
GBM_4_AutoML_4_20260728_205456,0.0114942528735632,0.040698612754313,0.1093228289145214,0.0119514809218737
XRT_1_AutoML_4_20260728_205456,0.0114942528735632,0.1365191915282404,0.1695085408215417,0.0287331454114482
StackedEnsemble_AllModels_1_AutoML_4_20260728_205456,0.0114942528735632,0.0470745689010285,0.1049818595255019,0.0110211908294322
GBM_2_AutoML_4_20260728_205456,0.0114942528735632,0.038674133622757,0.1102618320257038,0.0121576716016645
GBM_grid_1_AutoML_4_20260728_205456_model_1,0.0114942528735632,0.0591322510258512,0.123505596425567,0.015253632348435
StackedEnsemble_BestOfFamily_1_AutoML_4_20260728_205456,0.0114942528735632,0.0610818171754109,0.1231686581080852,0.0151705183401464
GBM_3_AutoML_4_20260728_205456,0.0114942528735632,0.0360966279817555,0.1054799362390993,0.0111260169490044
GBM_grid_1_AutoML_4_20260728_205456_model_3,0.0172413793103448,0.0423617892616789,0.1177516442056396,0.0138654497131315
GBM_grid_1_AutoML_4_20260728_205456_model_2,0.0172413793103448,0.0501842482312549,0.1267484671042345,0.0160651739132732
DeepLearning_grid_1_AutoML_4_20260728_205456_model_2,0.0172413793103448,0.1148242659598885,0.1549251846502297,0.0240018128389077
GBM_5_AutoML_4_20260728_205456,0.0200412614205717,0.0759058300310781,0.146097406840769,0.0213444522855971
DRF_1_AutoML_4_20260728_205456,0.0229885057471264,0.1373821835889563,0.1798258880640873,0.0323373500180376
GLM_1_AutoML_4_20260728_205456,0.0257883878573533,0.0615035387380983,0.1274707154952117,0.0162487833088612
DeepLearning_grid_1_AutoML_4_20260728_205456_model_1,0.0315355142941349,0.093164010816926,0.1613232255721982,0.0260251831090183
DeepLearning_grid_2_AutoML_4_20260728_205456_model_1,0.0315355142941349,0.1314782111065454,0.1882053744700612,0.0354212629794159
DeepLearning_1_AutoML_4_20260728_205456,0.0508880829077873,0.2201313084736474,0.2510134817345408,0.0630077680124966
DeepLearning_grid_3_AutoML_4_20260728_205456_model_1,0.0630710285882699,0.1503573966273625,0.2192257422413041,0.0480599260612507
